ID	AFR	EUR	AMR
RP-1847_10028166	0	1	1
RP-1847_10028183	2	0	0
RP-1847_10028229	2	0	0
RP-1847_10028248	2	0	0
RP-1847_10028249	2	0	0
RP-1847_10028304	0	1	1
RP-1847_10028308	1	1	0
RP-1847_10028310	0	0	2
RP-1847_10028324	1	1	0
RP-1847_10028337	2	0	0
RP-1847_10028352	0	2	0
RP-1847_10028356	0	2	0
RP-1847_10028477	0	1	1
RP-1847_10028594	1	1	0
RP-1847_10028702	0	2	0
RP-1847_10028736	0	2	0
RP-1847_10028755	2	0	0
RP-1847_10028771	0	1	1
RP-1847_10028894	2	0	0
RP-1847_10028913	0	2	0
RP-1847_10029249	2	0	0
RP-1847_10029257	1	1	0
RP-1847_10029288	0	2	0
RP-1847_10029303	0	0	2
RP-1847_10029316	0	2	0
RP-1847_10029372	2	0	0
RP-1847_10029470	1	1	0
RP-1847_10029798	0	2	0
RP-1847_10030095	0	2	0
RP-1847_10030174	2	0	0
RP-1847_10030234	1	1	0
RP-1847_10030254	2	0	0
RP-1847_10030265	0	2	0
RP-1847_10030441	0	2	0
RP-1847_10030458	1	1	0
RP-1847_10030460	2	0	0
RP-1847_10030462	2	0	0
RP-1847_10030463	2	0	0
RP-1847_10030474	0	2	0
RP-1847_10030479	0	2	0
RP-1847_10030482	0	2	0
RP-1847_10030573	0	2	0
RP-1847_10030726	0	2	0
RP-1847_10030753	0	2	0
RP-1847_10030764	2	0	0
RP-1847_10030778	0	2	0
RP-1847_10030781	0	2	0
RP-1847_10030786	1	1	0
RP-1847_10031029	2	0	0
RP-1847_10031045	2	0	0
RP-1847_10031075	2	0	0
RP-1847_10031147	0	1	1
RP-1847_10031158	0	0	2
RP-1847_10031184	0	1	1
RP-1847_10031218	0	2	0
RP-1847_10031336	0	2	0
RP-1847_10031349	2	0	0
RP-1847_10031402	2	0	0
RP-1847_10031409	2	0	0
RP-1847_10031645	2	0	0
RP-1847_10031648	0	2	0
RP-1847_10031675	2	0	0
RP-1847_10031689	0	2	0
RP-1847_10031734	2	0	0
RP-1847_10031821	1	1	0
RP-1847_10031861	2	0	0
RP-1847_10031947	1	1	0
RP-1847_10032007	2	0	0
RP-1847_10032256	1	1	0
RP-1847_10032273	2	0	0
RP-1847_10032301	1	1	0
RP-1847_10032392	0	1	1
RP-1847_10032784	0	2	0
RP-1847_10032813	0	2	0
RP-1847_10032894	0	2	0
RP-1847_10032922	0	2	0
RP-1847_10032929	0	0	2
RP-1847_10033113	2	0	0
RP-1847_10033119	0	1	1
RP-1847_10033208	0	2	0
RP-1847_10033211	2	0	0
RP-1847_10033222	0	2	0
RP-1847_10033227	0	2	0
RP-1847_10033230	2	0	0
RP-1847_10033236	0	2	0
RP-1847_10033243	2	0	0
RP-1847_10033281	2	0	0
RP-1847_10033378	0	2	0
RP-1847_10033380	2	0	0
RP-1847_10033396	2	0	0
RP-1847_10033398	2	0	0
RP-1847_10033400	2	0	0
RP-1847_10033403	0	0	2
RP-1847_10033466	1	1	0
RP-1847_10033494	0	1	0
RP-1847_10033508	2	0	0
RP-1847_10033626	2	0	0
RP-1847_10034026	2	0	0
RP-1847_10034044	0	2	0
RP-1847_10034063	2	0	0
RP-1847_10034064	2	0	0
RP-1847_10034165	0	0	2
RP-1847_10034167	2	0	0
RP-1847_10034267	0	2	0
RP-1847_10034270	1	1	0
RP-1847_10034305	2	0	0
RP-1847_10034396	1	1	0
RP-1847_10034400	0	2	0
RP-1847_10034440	1	1	0
RP-1847_10034616	2	0	0
RP-1847_10034634	0	2	0
RP-1847_10034640	0	2	0
RP-1847_10034664	0	2	0
RP-1847_10034732	2	0	0
RP-1847_10034805	1	1	0
RP-1847_10034855	1	1	0
RP-1847_10034868	0	1	1
RP-1847_10034960	0	2	0
RP-1847_10034965	2	0	0
RP-1847_10034967	1	1	0
RP-1847_10034970	0	2	0
RP-1847_10034994	2	0	0
RP-1847_10035045	2	0	0
RP-1847_10035117	0	2	0
RP-1847_10035174	0	0	2
RP-1847_10035195	0	0	2
RP-1847_10035210	2	0	0
RP-1847_10035224	2	0	0
RP-1847_10035232	0	0	2
RP-1847_10035268	1	1	0
RP-1847_10035285	2	0	0
RP-1847_10035331	2	0	0
RP-1847_10035356	0	2	0
RP-1847_10035358	1	1	0
RP-1847_10035407	0	2	0
RP-1847_10035477	2	0	0
RP-1847_10035505	2	0	0
RP-1847_10035506	2	0	0
RP-1847_10035514	2	0	0
RP-1847_10035522	2	0	0
RP-1847_10035685	1	1	0
RP-1847_10035691	1	1	0
RP-1847_10035970	0	2	0
RP-1847_10035975	0	2	0
RP-1847_10035977	2	0	0
RP-1847_10035988	1	1	0
RP-1847_10036004	0	2	0
RP-1847_10036030	0	2	0
RP-1847_10036050	2	0	0
RP-1847_10036070	1	1	0
RP-1847_10036077	0	0	2
RP-1847_10036107	0	2	0
RP-1847_10036183	0	2	0
RP-1847_10036306	2	0	0
RP-1847_10036314	0	2	0
RP-1847_10036330	0	1	1
RP-1847_10036338	2	0	0
RP-1847_10036349	0	0	2
RP-1847_10036355	0	2	0
RP-1847_10036414	1	1	0
RP-1847_10036416	0	2	0
RP-1847_10036428	0	2	0
RP-1847_10036432	2	0	0
RP-1847_10036434	2	0	0
RP-1847_10036462	0	2	0
RP-1847_10036463	2	0	0
RP-1847_10036480	2	0	0
RP-1847_10036498	1	1	0
RP-1847_10036510	1	0	1
RP-1847_10036523	2	0	0
RP-1847_10036524	0	2	0
RP-1847_10036542	2	0	0
RP-1847_10036543	0	2	0
RP-1847_10036550	2	0	0
RP-1847_10036604	0	0	2
RP-1847_10036612	2	0	0
RP-1847_10036624	0	1	1
RP-1847_10036625	0	0	2
RP-1847_10036642	0	2	0
RP-1847_10036644	1	1	0
RP-1847_10036680	1	1	0
RP-1847_10036696	2	0	0
RP-1847_10036752	1	1	0
RP-1847_10036952	0	2	0
RP-1847_10037004	2	0	0
RP-1847_10037087	0	2	0
RP-1847_10037100	0	2	0
RP-1847_10037186	2	0	0
RP-1847_10037207	2	0	0
RP-1847_10037237	2	0	0
RP-1847_10037243	1	1	0
RP-1847_10037248	0	2	0
RP-1847_10037330	2	0	0
RP-1847_10037393	0	2	0
RP-1847_10037413	0	1	1
RP-1847_10037429	0	2	0
RP-1847_10037452	2	0	0
RP-1847_10037489	1	1	0
RP-1847_10037606	2	0	0
RP-1847_10037649	0	2	0
RP-1847_10037718	1	1	0
RP-1847_10037735	2	0	0
RP-1847_10037737	1	1	0
RP-1847_10037743	0	1	1
RP-1847_10037745	0	2	0
RP-1847_10037747	0	2	0
RP-1847_10037750	2	0	0
RP-1847_10037751	2	0	0
RP-1847_10037955	1	0	1
RP-1847_10037991	0	2	0
RP-1847_10038010	0	2	0
RP-1847_10038016	0	2	0
RP-1847_10038085	2	0	0
RP-1847_10038096	0	0	2
RP-1847_10038098	0	2	0
RP-1847_10038103	0	1	1
RP-1847_10038132	0	2	0
RP-1847_10038188	0	2	0
RP-1847_10038189	2	0	0
RP-1847_10038217	2	0	0
RP-1847_10038225	2	0	0
RP-1847_10038237	0	2	0
RP-1847_10038258	0	1	1
RP-1847_10038259	2	0	0
RP-1847_10038272	0	2	0
RP-1847_10038285	2	0	0
RP-1847_10038288	1	1	0
RP-1847_10038329	0	2	0
RP-1847_10038342	2	0	0
RP-1847_10038387	1	0	1
RP-1847_10038446	0	0	2
RP-1847_10038467	0	1	0
RP-1847_10038537	2	0	0
RP-1847_10038586	2	0	0
RP-1847_10038651	0	2	0
RP-1847_10038673	2	0	0
RP-1847_10038676	0	2	0
